,has_domain,has_birth_date,has_photo,can_post_on_wall,can_send_message,has_website,gender,has_short_name,has_first_name,has_last_name,access_to_closed_profile,is_profile_closed,target,has_nickname,has_maiden_name,has_mobile,all_posts_visible,audio_available,has_interests,has_books,has_tv,has_quotes,has_about,has_games,has_movies,has_activities,has_music,can_add_as_friend,can_invite_to_group,subscribers_count,is_blacklisted,has_career,has_military_service,has_hometown,marital_status,has_universities,has_schools,has_relatives,is_verified,is_confirmed,has_status,posts_count,avg_likes,links_ratio,hashtags_ratio,avg_keywords,avg_text_length,attachments_ratio,avg_comments,reposts_ratio,ads_ratio,avg_views,posting_frequency_days,phone_numbers_ratio,avg_text_uniqueness,city,has_occupation,occupation_type_university,occupation_type_work,has_personal_data
2248,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.15,0.45,6.9,486.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,319,1,2,2,1
2249,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,952,0,0,0,0,0,0,0,0,0,0,2,20.0,0.0,0.15,0.45,6.9,486.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,319,1,2,2,1
2250,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.15,0.45,6.9,486.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,319,1,2,2,1
2251,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.15,0.45,6.9,486.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,319,1,2,2,1
2252,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,253,0,0,0,1,0,0,0,0,0,0,2,20.0,0.0,0.65,0.4,48.9,2687.45,0.95,0.0,1.0,0.0,14.75,0.0,0.0,0.66,319,1,2,2,1
2253,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.65,0.4,48.9,2687.45,0.95,0.0,1.0,0.0,14.75,0.0,0.0,0.66,319,1,2,2,1
2254,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.65,0.4,48.9,2687.45,0.95,0.0,1.0,0.0,14.75,0.0,0.0,0.66,319,1,2,2,1
2255,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.65,0.4,48.9,2687.45,0.95,0.0,1.0,0.0,14.75,0.0,0.0,0.66,319,1,2,2,1
2256,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.65,0.4,48.9,2687.45,0.95,0.0,1.0,0.0,14.75,0.0,0.0,0.66,319,1,2,2,1
2257,0,0,1,0,1,0,2,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1510,0,0,0,0,0,0,0,0,0,0,0,20.0,0.05,0.2,0.05,7.6,598.65,0.95,0.0,0.4,0.0,2.65,0.06,0.0,0.3,319,1,2,2,1
2258,0,1,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.05,0.2,0.05,7.6,598.65,0.95,0.0,0.4,0.0,2.65,0.06,0.0,0.3,319,1,2,2,1
2259,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.05,0.2,0.05,7.6,598.65,0.95,0.0,0.4,0.0,2.65,0.06,0.0,0.3,319,1,2,2,1
2260,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,1,0,82,0,2,2,2,8,2,2,2,1,0,0,20.0,0.0,0.15,0.05,31.65,2835.4,0.95,0.0,1.0,0.0,0.55,0.01,0.0,0.6,319,1,2,2,1
2261,0,1,0,0,0,0,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.15,0.05,31.65,2835.4,0.95,0.0,1.0,0.0,0.55,0.01,0.0,0.6,319,1,2,2,1
2262,0,0,0,0,0,0,2,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1596,1,2,2,2,8,2,2,2,2,2,2,20.0,0.0,0.15,0.05,31.65,2835.4,0.95,0.0,1.0,0.0,0.55,0.01,0.0,0.6,319,1,2,2,1
